MSOA Code,MSOA Name,Age - All Ages,Age - 0-15,Age - 16-29,Age - 30-44,Age - 45-64,Age - 65+,Age - Working-age,Households - All Households,Composition - Couple hh with dependent children,Composition - Couple hh without dependent children,Composition - Lone parent hh,Composition - One person hh,Composition - Other hh Types,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group,BAME,Country of Birth - United Kingdom,Country of Birth - Not United Kingdom,Language - 1+ English as a main language,Language - None have English as main language,Tenure - Owned outright,Tenure - Owned with a mortgage or loan,Tenure - Social rented,Tenure - Private rented,Household spaces with at least one usual resident,Household spaces with no usual residents,Detached,Semi-detached,Terraced (including end-terrace),"Flat, maisonette or apartment",Population Density - Persons per hectare (2012),Median - 2005,Median - 2006,Median - 2007,Median - 2008,Median - 2009,Median - 2010,Median - 2011,Median - 2012,Median - 2013 (p),Sales - 2005,Sales - 2006,Sales - 2007,Sales - 2008,Sales - 2009,Sales - 2010,Sales - 2011,Sales - 2011.1,Sales - 2013(p),Qualifications - No,Qualifications - Level 1,Qualifications - Level 2,Qualifications - Apprenticeship,Qualifications - Level 3,Qualifications - Level 4 and above,Qualifications - Other,Qualifications - Schoolchildren and full-time students: Age 18 and over,Economic Activity - Economically active: Total,Economic Activity - Economically active: Unemployed,Economic Activity - Economically inactive: Total,Economic Activity - Unemployment Rate,Adults in Employment - No adults in employment in hh: With dependent children,Total Mean hh Income,Total Median hh Income,Vehicles - No cars or vans in hh,Vehicles - 1 car or van in hh,Vehicles - 2 cars or vans in hh,Vehicles - 3 cars or vans in hh,Vehicles - 4 or more cars or vans in hh,Vehicles - Sum of all cars or vans in the area,Vehicles - Cars per hh,Borough,Subregion
E02000001,City of London 001,7375.0,620.0,1665.0,2045.0,2010.0,1035.0,5720.0,4385.0,306.0,927.0,153.0,2472.0,527.0,5799.0,289.0,940.0,193.0,154.0,1576.0,4670.0,2705.0,3825.0,560.0,1093.0,762.0,725.0,1573.0,4385.0,1145.0,22.0,12.0,80.0,5416.0,26.240596314445444,310000.0,341000.0,412500.0,365000.0,410000.0,450000.0,465000.0,485000.0,595000.0,303.0,295.0,268.0,141.0,157.0,235.0,256.0,195.0,353.0,454.0,291.0,445.0,47.0,484.0,4618.0,416.0,422.0,4972.0,187.0,1335.0,3.761061946902655,38.0,59728.481885537134,46788.29547174097,3043.0,1100.0,173.0,51.0,18.0,1692.0,0.38586088939566704,City of London,Inner West
E02000002,Barking and Dagenham 001,6775.0,1751.0,1277.0,1388.0,1258.0,1101.0,3923.0,2713.0,491.0,366.0,597.0,814.0,445.0,4403.0,330.0,820.0,1133.0,89.0,2372.0,5159.0,1616.0,2459.0,254.0,596.0,663.0,1133.0,269.0,2713.0,82.0,99.0,744.0,865.0,1087.0,31.704834605597963,168500.0,180000.0,187500.0,197500.0,190000.0,173000.0,185000.0,182250.0,190000.0,81.0,100.0,100.0,68.0,45.0,61.0,51.0,42.0,61.0,1623.0,789.0,706.0,118.0,479.0,914.0,395.0,272.0,2847.0,335.0,1513.0,11.766772040744645,319.0,31788.185996220534,27058.703759916134,1020.0,1186.0,424.0,66.0,17.0,2305.0,0.8496129745669001,Barking and Dagenham,Outer East and North East
E02000003,Barking and Dagenham 002,10045.0,2247.0,1959.0,2300.0,2259.0,1280.0,6518.0,3834.0,776.0,730.0,589.0,1039.0,700.0,5486.0,433.0,2284.0,1618.0,224.0,4559.0,7193.0,2852.0,3431.0,403.0,1028.0,1473.0,446.0,830.0,3834.0,110.0,161.0,936.0,1591.0,1256.0,47.71421900537007,185000.0,197750.0,220000.0,225000.0,188500.0,215000.0,200000.0,205500.0,237000.0,203.0,232.0,295.0,100.0,80.0,97.0,89.0,114.0,98.0,1778.0,1210.0,1236.0,169.0,847.0,1829.0,729.0,442.0,5038.0,459.0,2111.0,9.110758237395792,268.0,43356.931547279986,36834.52873756515,1196.0,1753.0,691.0,155.0,39.0,3766.0,0.98226395409494,Barking and Dagenham,Outer East and North East
E02000004,Barking and Dagenham 003,6182.0,1196.0,1277.0,1154.0,1543.0,1012.0,3974.0,2318.0,508.0,524.0,322.0,609.0,355.0,5006.0,186.0,313.0,649.0,28.0,1176.0,5292.0,890.0,2214.0,104.0,718.0,969.0,371.0,228.0,2318.0,45.0,92.0,858.0,1094.0,314.0,25.304878048780488,181000.0,182000.0,212000.0,208997.5,182000.0,192000.0,193750.0,205000.0,210000.0,93.0,131.0,125.0,66.0,54.0,61.0,72.0,58.0,67.0,1502.0,800.0,825.0,163.0,539.0,891.0,266.0,215.0,3187.0,296.0,1251.0,9.287731408848448,122.0,46701.436554263484,39668.20643300475,556.0,1085.0,515.0,128.0,34.0,2650.0,1.1432269197584124,Barking and Dagenham,Outer East and North East
E02000005,Barking and Dagenham 004,8562.0,2200.0,1592.0,1995.0,1829.0,946.0,5416.0,3183.0,691.0,583.0,593.0,808.0,508.0,5674.0,313.0,1050.0,1445.0,80.0,2888.0,6425.0,2137.0,2868.0,315.0,711.0,1146.0,793.0,482.0,3183.0,89.0,136.0,622.0,2141.0,373.0,72.8894874168841,162250.0,170000.0,185000.0,200000.0,166250.0,169000.0,165000.0,167000.0,180000.0,152.0,168.0,184.0,73.0,60.0,58.0,81.0,59.0,75.0,1839.0,1026.0,1038.0,160.0,653.0,1119.0,527.0,333.0,4052.0,394.0,1881.0,9.723593287265548,307.0,34293.82028840508,29155.683535678465,1080.0,1423.0,551.0,109.0,20.0,2937.0,0.9227144203581527,Barking and Dagenham,Outer East and North East
E02000007,Barking and Dagenham 006,8791.0,2388.0,1765.0,1867.0,1736.0,1035.0,5368.0,3441.0,643.0,489.0,776.0,1064.0,469.0,5906.0,307.0,526.0,1997.0,55.0,2885.0,6658.0,2133.0,3117.0,324.0,558.0,821.0,1663.0,333.0,3441.0,93.0,82.0,761.0,1219.0,1471.0,52.287129853669775,165000.0,165000.0,187000.0,199000.0,155000.0,165000.0,153750.0,172500.0,168500.0,112.0,133.0,139.0,39.0,40.0,75.0,76.0,48.0,55.0,2057.0,1065.0,1001.0,166.0,556.0,1129.0,429.0,402.0,3905.0,511.0,1893.0,13.085787451984634,437.0,29975.834376125837,25568.60183133583,1496.0,1444.0,419.0,63.0,19.0,2549.0,0.7407730310956118,Barking and Dagenham,Outer East and North East
E02000008,Barking and Dagenham 007,11569.0,2942.0,2179.0,2662.0,2404.0,1382.0,7245.0,4591.0,934.0,700.0,909.0,1398.0,650.0,8057.0,478.0,883.0,2010.0,141.0,3512.0,8839.0,2730.0,4156.0,435.0,708.0,1391.0,1762.0,641.0,4591.0,51.0,188.0,864.0,2825.0,764.0,81.9001338122403,159997.5,166500.0,180000.0,186000.0,153000.0,159000.0,160000.0,162000.0,175750.0,228.0,257.0,229.0,113.0,78.0,74.0,76.0,83.0,86.0,2787.0,1364.0,1413.0,163.0,796.0,1401.0,703.0,465.0,5217.0,579.0,2689.0,11.09833237492812,506.0,31412.526380826563,26749.839237611654,1776.0,2063.0,624.0,98.0,30.0,3735.0,0.8135482465693749,Barking and Dagenham,Outer East and North East
E02000009,Barking and Dagenham 008,8395.0,2062.0,1753.0,2046.0,1743.0,791.0,5542.0,3212.0,629.0,513.0,668.0,897.0,505.0,5136.0,366.0,1220.0,1581.0,92.0,3259.0,5966.0,2429.0,2791.0,421.0,488.0,987.0,982.0,619.0,3212.0,80.0,129.0,776.0,1724.0,663.0,92.26525088486362,159000.0,163000.0,182500.0,191500.0,157500.0,181497.5,171000.0,172247.5,176995.0,134.0,162.0,173.0,53.0,46.0,134.0,151.0,130.0,115.0,1841.0,980.0,984.0,121.0,562.0,1240.0,605.0,443.0,4039.0,449.0,1908.0,11.1166130230255,341.0,32138.69013516068,27346.885637880183,1192.0,1490.0,433.0,75.0,22.0,2675.0,0.8328144458281445,Barking and Dagenham,Outer East and North East
E02000010,Barking and Dagenham 009,8615.0,2335.0,1637.0,2007.0,1748.0,888.0,5392.0,3292.0,694.0,513.0,701.0,901.0,483.0,5962.0,280.0,638.0,1641.0,94.0,2653.0,6534.0,2081.0,2963.0,329.0,463.0,1028.0,1195.0,517.0,3292.0,55.0,125.0,617.0,2127.0,477.0,79.01355690331788,157500.0,163000.0,185000.0,190000.0,150000.0,160000.0,157500.0,163000.0,174000.0,155.0,311.0,181.0,76.0,59.0,56.0,45.0,59.0,52.0,1951.0,1023.0,985.0,119.0,596.0,1091.0,515.0,351.0,3889.0,398.0,1943.0,10.233993314476729,417.0,31810.611008472515,27077.141437039383,1281.0,1449.0,455.0,82.0,25.0,2713.0,0.8241190765492102,Barking and Dagenham,Outer East and North East
E02000011,Barking and Dagenham 010,6187.0,1387.0,1187.0,1276.0,1497.0,840.0,3960.0,2289.0,468.0,476.0,357.0,575.0,413.0,4106.0,202.0,682.0,1146.0,51.0,2081.0,4615.0,1572.0,2060.0,229.0,672.0,849.0,289.0,440.0,2289.0,59.0,128.0,571.0,1060.0,588.0,39.60097873141352,171250.0,178000.0,205000.0,211000.0,165000.0,182000.0,184000.0,171500.0,203250.0,106.0,122.0,160.0,68.0,49.0,61.0,53.0,48.0,58.0,1375.0,763.0,760.0,137.0,448.0,938.0,379.0,293.0,3077.0,265.0,1295.0,8.612284692882678,175.0,39011.76567811871,33153.027415032244,668.0,1112.0,379.0,104.0,26.0,2296.0,1.003058103975535,Barking and Dagenham,Outer East and North East
